id,AutoInstall,Category,Description,DirectDownloadLink,HomePage,Icon,InstallParameters,Name,OSArch,OSVersion,PackageName,Selected,SoftwareType,SoftwareVersion,User
1,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,TW96aWxsYSBGaXJlZm94IGzDoCB0csOsbmggZHV54buHdCBz4bufIGjhu691IGdpYW8gZGnhu4duIGhp4buHbiDEkeG6oWksIG7Dom5nIGPhuqVwIGPDoWMgdMOtbmggbsSDbmcgaGnhu4duIGPDsyB2w6Agc+G7rWEgbOG7l2kgxJHhu4MgbWFuZyB04bubaSB0cuG6o2kgbmdoaeG7h20gdHLDrG5oIGR1eeG7h3Qgd2ViIGhp4buHdSBxdeG6oyBjaG8gbmfGsOG7nWkgZMO5bmcu|TW96aWxsYSBGaXJlZm94IGlzIGEgYnJvd3NlciB3aXRoIGEgbW9kZXJuIGludGVyZmFjZSwgdXBncmFkaW5nIGV4aXN0aW5nIGZlYXR1cmVzIGFuZCBmaXhpbmcgYnVncyB0byBwcm92aWRlIGFuIGVmZmVjdGl2ZSB3ZWIgYnJvd3NpbmcgZXhwZXJpZW5jZSBmb3IgdXNlcnMu,https://download.mozilla.org/?product=firefox-latest-ssl&os=win64&lang=en-US,https://www.mozilla.org/,https://assets-prod.sumo.prod.webservices.mozgcp.net/static/favicon.03d97697df808c0e.ico,/S,FireFox 64Bit,X64|,WIN_11|WIN_10,Firefox Setup 125.0.2.exe,NO,Installer,125.0.2,Admin
2,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,TW96aWxsYSBGaXJlZm94IGzDoCB0csOsbmggZHV54buHdCBz4bufIGjhu691IGdpYW8gZGnhu4duIGhp4buHbiDEkeG6oWksIG7Dom5nIGPhuqVwIGPDoWMgdMOtbmggbsSDbmcgaGnhu4duIGPDsyB2w6Agc+G7rWEgbOG7l2kgxJHhu4MgbWFuZyB04bubaSB0cuG6o2kgbmdoaeG7h20gdHLDrG5oIGR1eeG7h3Qgd2ViIGhp4buHdSBxdeG6oyBjaG8gbmfGsOG7nWkgZMO5bmcu|TW96aWxsYSBGaXJlZm94IGlzIGEgYnJvd3NlciB3aXRoIGEgbW9kZXJuIGludGVyZmFjZSwgdXBncmFkaW5nIGV4aXN0aW5nIGZlYXR1cmVzIGFuZCBmaXhpbmcgYnVncyB0byBwcm92aWRlIGFuIGVmZmVjdGl2ZSB3ZWIgYnJvd3NpbmcgZXhwZXJpZW5jZSBmb3IgdXNlcnMu,https://download.mozilla.org/?product=firefox-latest-ssl&os=win&lang=en-US,https://www.mozilla.org/,https://assets-prod.sumo.prod.webservices.mozgcp.net/static/favicon.03d97697df808c0e.ico,/S,Firefox 32Bit,X86|X64,WIN_11|WIN_10,Firefox Setup 125.0.2.exe,NO,Installer,125.0.2,Admin
3,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,RmlyZWZveCBFU1IgbMOgIHBoacOqbiBi4bqjbiB0csOsbmggZHV54buHdCB3ZWIgRmlyZWZveCBkw6BuaCBjaG8gZG9hbmggbmdoaeG7h3AsIHThu5UgY2jhu6ljIHbDoCB0csaw4budbmcgaOG7jWMuIEZpcmVmb3ggRVNSIGzDoCB0w6puIHZp4bq/dCB04bqvdCBj4bunYSBGaXJlZm94IEV4dGVuZGVkIFN1cHBvcnQgUmVsZWFzZSB24bubaSBuaOG7r25nIMawdSDEkWnhu4NtIG5oxrAgdOG7sSDEkeG7mW5nIGPhuq1wIG5o4bqtdCBi4bqjbiB2w6EgbOG7l2ksIHTEg25nIGPGsOG7nW5nIGLhuqNvIG3huq10IHbDoCBkdXnhu4d0IHdlYiBoaeG7h3Ugc3XhuqV0IGNhbyBoxqFuLiBI4buXIHRy4bujIFdpbmRvd3MgNy84LzguMQ|RmlyZWZveCBFU1IgaXMgdGhlIEZpcmVmb3ggd2ViIGJyb3dzZXIgdmVyc2lvbiBmb3IgYnVzaW5lc3Nlcywgb3JnYW5pemF0aW9ucyBhbmQgc2Nob29scy4gRmlyZWZveCBFU1IgaXMgdGhlIGFiYnJldmlhdGlvbiBmb3IgRmlyZWZveCBFeHRlbmRlZCBTdXBwb3J0IFJlbGVhc2Ugd2l0aCBhZHZhbnRhZ2VzIHN1Y2ggYXMgYXV0b21hdGljIHBhdGNoIHVwZGF0ZXMsIGVuaGFuY2VkIHNlY3VyaXR5IGFuZCBoaWdoZXIgcGVyZm9ybWFuY2Ugd2ViIGJyb3dzaW5nLiBTdXBwb3J0cyBXaW5kb3dzIDcvOC84LjE,https://download.mozilla.org/?product=firefox-esr-latest-ssl&os=win64&lang=en-US,https://www.mozilla.org/,https://assets-prod.sumo.prod.webservices.mozgcp.net/static/favicon.03d97697df808c0e.ico,/S,FireFox ESR 64Bit,X64|,WIN_81|WIN_8|WIN_7,Firefox Setup 115.10.0esr.exe,NO,Installer,115.10.0,Admin
4,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,RmlyZWZveCBFU1IgbMOgIHBoacOqbiBi4bqjbiB0csOsbmggZHV54buHdCB3ZWIgRmlyZWZveCBkw6BuaCBjaG8gZG9hbmggbmdoaeG7h3AsIHThu5UgY2jhu6ljIHbDoCB0csaw4budbmcgaOG7jWMuIEZpcmVmb3ggRVNSIGzDoCB0w6puIHZp4bq/dCB04bqvdCBj4bunYSBGaXJlZm94IEV4dGVuZGVkIFN1cHBvcnQgUmVsZWFzZSB24bubaSBuaOG7r25nIMawdSDEkWnhu4NtIG5oxrAgdOG7sSDEkeG7mW5nIGPhuq1wIG5o4bqtdCBi4bqjbiB2w6EgbOG7l2ksIHTEg25nIGPGsOG7nW5nIGLhuqNvIG3huq10IHbDoCBkdXnhu4d0IHdlYiBoaeG7h3Ugc3XhuqV0IGNhbyBoxqFuLiBI4buXIHRy4bujIFdpbmRvd3MgNy84LzguMQ|RmlyZWZveCBFU1IgaXMgdGhlIEZpcmVmb3ggd2ViIGJyb3dzZXIgdmVyc2lvbiBmb3IgYnVzaW5lc3Nlcywgb3JnYW5pemF0aW9ucyBhbmQgc2Nob29scy4gRmlyZWZveCBFU1IgaXMgdGhlIGFiYnJldmlhdGlvbiBmb3IgRmlyZWZveCBFeHRlbmRlZCBTdXBwb3J0IFJlbGVhc2Ugd2l0aCBhZHZhbnRhZ2VzIHN1Y2ggYXMgYXV0b21hdGljIHBhdGNoIHVwZGF0ZXMsIGVuaGFuY2VkIHNlY3VyaXR5IGFuZCBoaWdoZXIgcGVyZm9ybWFuY2Ugd2ViIGJyb3dzaW5nLiBTdXBwb3J0cyBXaW5kb3dzIDcvOC84LjE,https://download.mozilla.org/?product=firefox-esr-latest-ssl&os=win&lang=en-US,https://www.mozilla.org/,https://assets-prod.sumo.prod.webservices.mozgcp.net/static/favicon.03d97697df808c0e.ico,/S,FireFox ESR 32Bit,X86|X64,WIN_81|WIN_8|WIN_7,Firefox Setup 115.10.0esr.exe,NO,Installer,115.10.0,Admin
5,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,T3BlcmEgbMOgIG3hu5l0IHRyw6xuaCBkdXnhu4d0IHdlYiB2w6AgY8WpbmcgbMOgIG3hu5l0IGLhu5kgcGjhuqduIG3hu4FtIEludGVybmV0IMSRxrDhu6NjIHBow6F0IHRyaeG7g24gYuG7n2kgT3BlcmEgU29mdHdhcmUsIGhp4buHbiDEkcaw4bujYyBoxqFuIDI3MCB0cmnhu4d1IG5nxrDhu51pIHPhu60gZOG7pW5nIHRyw6puIHRo4bq/IGdp4bubaQ|T3BlcmEgaXMgYSB3ZWIgYnJvd3NlciBhbmQgYWxzbyBhbiBJbnRlcm5ldCBzb2Z0d2FyZSBzdWl0ZSBkZXZlbG9wZWQgYnkgT3BlcmEgU29mdHdhcmUsIGN1cnJlbnRseSB1c2VkIGJ5IG1vcmUgdGhhbiAyNzAgbWlsbGlvbiBwZW9wbGUgYXJvdW5kIHRoZSB3b3JsZA,https://download.opera.com/download/get/?id=65204&location=415&nothanks=yes&sub=marine&utm_tryagain=yes,https://www.opera.com/,https://cdn-production-opera-website.operacdn.com/staticfiles/assets/images/favicon/favicon.12c955371a4b.ico,/silent /allusers=1 /launchopera=0 /setdefaultbrowser=0,Opera 64Bit,X64|,WIN_11|WIN_10,Opera_108.0.5067.24_Setup_x64.exe,NO,Installer,108.0.5067.24,Admin
6,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,T3BlcmEgbMOgIG3hu5l0IHRyw6xuaCBkdXnhu4d0IHdlYiB2w6AgY8WpbmcgbMOgIG3hu5l0IGLhu5kgcGjhuqduIG3hu4FtIEludGVybmV0IMSRxrDhu6NjIHBow6F0IHRyaeG7g24gYuG7n2kgT3BlcmEgU29mdHdhcmUsIGhp4buHbiDEkcaw4bujYyBoxqFuIDI3MCB0cmnhu4d1IG5nxrDhu51pIHPhu60gZOG7pW5nIHRyw6puIHRo4bq/IGdp4bubaQ|T3BlcmEgaXMgYSB3ZWIgYnJvd3NlciBhbmQgYWxzbyBhbiBJbnRlcm5ldCBzb2Z0d2FyZSBzdWl0ZSBkZXZlbG9wZWQgYnkgT3BlcmEgU29mdHdhcmUsIGN1cnJlbnRseSB1c2VkIGJ5IG1vcmUgdGhhbiAyNzAgbWlsbGlvbiBwZW9wbGUgYXJvdW5kIHRoZSB3b3JsZA,https://download.opera.com/download/get/?id=65203&location=415&nothanks=yes&sub=marine&utm_tryagain=yes,https://www.opera.com/,https://cdn-production-opera-website.operacdn.com/staticfiles/assets/images/favicon/favicon.12c955371a4b.ico,/silent /allusers=1 /launchopera=0 /setdefaultbrowser=0,Opera 32Bit,X86|X64,WIN_11|WIN_10,Opera_108.0.5067.24_Setup.exe,NO,Installer,108.0.5067.24,Admin
7,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,T3BlcmEgR1ggbMOgIG3hu5l0IHRyw6xuaCBkdXnhu4d0IHdlYiwgxJHGsOG7o2MgcGjDoXQgaMOgbmggdsOgIHBow6F0IHRyaeG7g24gYuG7n2kgY8O0bmcgdHkgT3BlcmEgU29mdHdhcmUgY+G7p2EgTmEgVXkuIMSQw6J5IGzDoCBt4buZdCBwaGnDqm4gYuG6o24gY+G7p2EgdHLDrG5oIGR1eeG7h3Qgd2ViIE9wZXJhIMSRxrDhu6NjIHRoaeG6v3Qga+G6vyBkw6BuaCByacOqbmcgY2hvIG5nxrDhu51pIGNoxqFpIHRyw7IgY2jGoWkgxJFp4buHbiB04butIHRyw6puIE1pY3Jvc29mdCBXaW5kb3dzIHbDoCBtYWNPUywgdsOgIGN1bmcgY+G6pXAgbeG7mXQgc+G7kSBwaOG6p24gbeG7gW0gbGnDqm4gcXVhbiDEkeG6v24gSW50ZXJuZXQ|T3BlcmEgR1ggaXMgYSB3ZWIgYnJvd3NlciwgcmVsZWFzZWQgYW5kIGRldmVsb3BlZCBieSB0aGUgTm9yd2VnaWFuIGNvbXBhbnkgT3BlcmEgU29mdHdhcmUuIFRoaXMgaXMgYSB2ZXJzaW9uIG9mIHRoZSBPcGVyYSB3ZWIgYnJvd3NlciBkZXNpZ25lZCBzcGVjaWZpY2FsbHkgZm9yIHZpZGVvIGdhbWUgcGxheWVycyBvbiBNaWNyb3NvZnQgV2luZG93cyBhbmQgbWFjT1MsIGFuZCBvZmZlcnMgc29tZSBJbnRlcm5ldC1yZWxhdGVkIHNvZnR3YXJl,https://download.opera.com/download/get/?id=65169&location=415&nothanks=yes&sub=marine&utm_tryagain=yes,https://www.opera.com/,https://cdn-production-opera-website.operacdn.com/staticfiles/assets/images/favicon/favicon.12c955371a4b.ico,/silent /allusers=1 /launchopera=0 /setdefaultbrowser=0,Opera GX 64Bit,X64|,WIN_11|WIN_10,Opera_GX_107.0.5045.60_Setup_x64.exe,NO,Installer,107.0.5045.60,Admin
8,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,T3BlcmEgR1ggbMOgIG3hu5l0IHRyw6xuaCBkdXnhu4d0IHdlYiwgxJHGsOG7o2MgcGjDoXQgaMOgbmggdsOgIHBow6F0IHRyaeG7g24gYuG7n2kgY8O0bmcgdHkgT3BlcmEgU29mdHdhcmUgY+G7p2EgTmEgVXkuIMSQw6J5IGzDoCBt4buZdCBwaGnDqm4gYuG6o24gY+G7p2EgdHLDrG5oIGR1eeG7h3Qgd2ViIE9wZXJhIMSRxrDhu6NjIHRoaeG6v3Qga+G6vyBkw6BuaCByacOqbmcgY2hvIG5nxrDhu51pIGNoxqFpIHRyw7IgY2jGoWkgxJFp4buHbiB04butIHRyw6puIE1pY3Jvc29mdCBXaW5kb3dzIHbDoCBtYWNPUywgdsOgIGN1bmcgY+G6pXAgbeG7mXQgc+G7kSBwaOG6p24gbeG7gW0gbGnDqm4gcXVhbiDEkeG6v24gSW50ZXJuZXQ|T3BlcmEgR1ggaXMgYSB3ZWIgYnJvd3NlciwgcmVsZWFzZWQgYW5kIGRldmVsb3BlZCBieSB0aGUgTm9yd2VnaWFuIGNvbXBhbnkgT3BlcmEgU29mdHdhcmUuIFRoaXMgaXMgYSB2ZXJzaW9uIG9mIHRoZSBPcGVyYSB3ZWIgYnJvd3NlciBkZXNpZ25lZCBzcGVjaWZpY2FsbHkgZm9yIHZpZGVvIGdhbWUgcGxheWVycyBvbiBNaWNyb3NvZnQgV2luZG93cyBhbmQgbWFjT1MsIGFuZCBvZmZlcnMgc29tZSBJbnRlcm5ldC1yZWxhdGVkIHNvZnR3YXJl,https://download.opera.com/download/get/?id=65168&location=415&nothanks=yes&sub=marine&utm_tryagain=yes,https://www.opera.com/,https://cdn-production-opera-website.operacdn.com/staticfiles/assets/images/favicon/favicon.12c955371a4b.ico,/silent /allusers=1 /launchopera=0 /setdefaultbrowser=0,Opera GX 32Bit,X86|X64,WIN_11|WIN_10,Opera_GX_107.0.5045.60_Setup.exe,NO,Installer,107.0.5045.60,Admin
9,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,Q2hyb21lIGzDoCB0csOsbmggZHV54buHdCB3ZWIgY2jDrW5oIHRo4bupYyBj4bunYSBHb29nbGUsIGPDsyB04buRYyDEkeG7mSBjYW8sIGto4bqjIG7Eg25nIGLhuqNvIG3huq10IHThu5F0IHbDoCBjaG8gcGjDqXAgYuG6oW4gdHXhu7MgY2jhu4luaA|Q2hyb21lIGlzIEdvb2dsZSdzIG9mZmljaWFsIHdlYiBicm93c2VyLCBoYXMgaGlnaCBzcGVlZCwgZ29vZCBzZWN1cml0eSBhbmQgYWxsb3dzIHlvdSB0byBjdXN0b21pemU,https://dl.google.com/tag/s/appguid={8A69D345-D564-463C-AFF1-A69D9E530F96}&iid={1583B22A-BB3E-BA41-D07F-4854E08CB904}&lang=en&browser=3&usagestats=0&appname=Google%20Chrome&needsadmin=true&ap=x64-stable-statsdef_0&brand=GCEA/dl/chrome/install/googlechromestandaloneenterprise64.msi,https://www.google.com/,https://chromeenterprise.google/static/favicon.ico,/quiet /norestart,Google Chrome 64Bit,X64|,WIN_11|WIN_10,googlechromestandaloneenterprise64.msi,NO,Installer,122.0.6261.112,Admin
10,NO,VHLDrG5oIGR1eeG7h3Qgd2Vi|V2ViIGJyb3dzZXI,Q2hyb21lIGzDoCB0csOsbmggZHV54buHdCB3ZWIgY2jDrW5oIHRo4bupYyBj4bunYSBHb29nbGUsIGPDsyB04buRYyDEkeG7mSBjYW8sIGto4bqjIG7Eg25nIGLhuqNvIG3huq10IHThu5F0IHbDoCBjaG8gcGjDqXAgYuG6oW4gdHXhu7MgY2jhu4luaA|Q2hyb21lIGlzIEdvb2dsZSdzIG9mZmljaWFsIHdlYiBicm93c2VyLCBoYXMgaGlnaCBzcGVlZCwgZ29vZCBzZWN1cml0eSBhbmQgYWxsb3dzIHlvdSB0byBjdXN0b21pemU,https://dl.google.com/tag/s/appguid={8A69D345-D564-463C-AFF1-A69D9E530F96}&iid={1583B22A-BB3E-BA41-D07F-4854E08CB904}&lang=en&browser=3&usagestats=0&appname=Google%20Chrome&needsadmin=true&ap=stable-arch_x86-statsdef_0&brand=GCEA/dl/chrome/install/googlechromestandaloneenterprise.msi,https://www.google.com/,https://chromeenterprise.google/static/favicon.ico,/quiet /norestart,Google Chrome 32Bit,X86|X64,WIN_11|WIN_10,googlechromestandaloneenterprise.msi,NO,Installer,122.0.6261.112,Admin
